Goal ( 0.398617 , 0.0826257 ) Distance 0.407091 Score 0.407090693712
Goal ( 0.467606 , 0.228291 ) Distance 0.520358 Score 0.0260178864002
Goal ( 0.341858 , 0.00171904 ) Distance 0.341862 Score 0.341862261295
Goal ( 0.445192 , 0.277963 ) Distance 0.524842 Score 0.00749774064337
Goal ( 0.353351 , 0.209753 ) Distance 0.410918 Score 0.410917639732
Goal ( 0.435523 , 0.0751254 ) Distance 0.441955 Score 0.441955089569
Goal ( 0.430176 , 0.0860215 ) Distance 0.438692 Score 0.4386921525
Goal ( 0.427768 , 0.226373 ) Distance 0.483973 Score 0.483972847462
Goal ( 0.458858 , 0.179211 ) Distance 0.492612 Score 0.492612481117
Goal ( 0.357377 , 0.0503326 ) Distance 0.360904 Score 0.360903531313
Goal ( 0.335948 , 0.260794 ) Distance 0.425293 Score 0.425293147564
Goal ( 0.440634 , 0.248682 ) Distance 0.505966 Score 0.0266297710569
Goal ( 0.478532 , 0.171219 ) Distance 0.508241 Score 0.0220974139545
Goal ( 0.457494 , 0.122247 ) Distance 0.473545 Score 0.473544895649
Goal ( 0.604173 , 0.116243 ) Distance 0.615254 Score 0.0
Goal ( 0.298252 , 0.0 ) Distance 0.298252 Score 0.298251897097
Goal ( 0.274502 , 0.0677322 ) Distance 0.282735 Score 0.282735049725
Goal ( 0.493787 , 0.0605608 ) Distance 0.497487 Score 0.045226116072
Goal ( 0.434277 , 0.273998 ) Distance 0.513489 Score 0.0
Goal ( 0.369574 , 0.323218 ) Distance 0.490974 Score 0.4909735322
Goal ( 0.521858 , 0.237795 ) Distance 0.573482 Score 0.00341358603466
Goal ( 0.460115 , 0.0274479 ) Distance 0.460933 Score 0.460932821035
Goal ( 0.404397 , 0.195777 ) Distance 0.449295 Score 0.449294984341
Goal ( 0.390809 , 0.125253 ) Distance 0.41039 Score 0.410389780998
Goal ( 0.356451 , 0.0 ) Distance 0.356451 Score 0.356450885534
Goal ( 0.488188 , 0.0 ) Distance 0.488188 Score 0.488187789917
Goal ( 0.46336 , 0.210268 ) Distance 0.508837 Score 0.0
Goal ( 0.413696 , 0.088328 ) Distance 0.423021 Score 0.423020631075
Goal ( 0.471562 , 0.189067 ) Distance 0.508052 Score 0.0175190239117
Goal ( 0.376274 , 0.260371 ) Distance 0.457576 Score 0.457575678825
Goal ( 0.439577 , 0.0 ) Distance 0.439577 Score 0.439576655626
Goal ( 0.463874 , 0.129394 ) Distance 0.481583 Score 0.481582581997
Goal ( 0.456823 , 0.240381 ) Distance 0.516208 Score 0.015182581018
Goal ( 0.444845 , 0.162532 ) Distance 0.473607 Score 0.473606854677
Goal ( 0.399636 , 0.210589 ) Distance 0.451726 Score 0.451725870371
Goal ( 0.469961 , 0.163252 ) Distance 0.497509 Score 0.497508764267
Goal ( 0.468936 , 0.213052 ) Distance 0.515065 Score 0.0429220944643
Goal ( 0.373786 , 0.121449 ) Distance 0.393021 Score 0.393021404743
Goal ( 0.440205 , 0.0141556 ) Distance 0.440433 Score 0.440432965755
Goal ( 0.42384 , 0.216272 ) Distance 0.47583 Score 0.475829958916
Goal ( 0.38862 , 0.0997748 ) Distance 0.401223 Score 0.401223480701
Goal ( 0.386886 , 0.287098 ) Distance 0.481774 Score 0.481773972511
Goal ( 0.413322 , 0.0 ) Distance 0.413322 Score 0.4133220613
Goal ( 0.380745 , 0.258425 ) Distance 0.460163 Score 0.460163086653
Goal ( 0.10843008354504124 , 0.506809875271 ) Distance 0.518279203413 Score 0.0191955260523
